lemma;id;part_of_speech;forms
разълазька;137376;common noun;sg., f., nom., infl.:розласка|sg., f., acc., infl.:розласъкѹ
манити;137378;verb;sg., past, part., pass., n., nom., strong, infl.:манено
пересрочити;137379;verb;sg., past, part., pass., n., nom., strong, infl.:пересрочено
сълыгивати;137380;verb;sg., past, part., pass., n., nom., strong, infl.:сьлыгивано
сплетъка;137381;common noun;pl., f., nom., infl.:сплетъки
ласка;137382;common noun;sg., f., ins., infl.:ласкою
мартъ;137389;common noun;sg., m., gen., infl.:марта|sg., m., loc., infl.:марте
селько;137394;quantifier;non-infl.:селько
благодать;137400;common noun;sg., f., acc., infl.:бл҃годать,бл҃годат|sg., f., ins., infl.:бл҃годатию,блгодатию,блг҃огодатию,блг҃одатию,бл҃гдтию,блб҃датию,бл҃гдатию,бл҃гтию,благодатию|sg., f., nom., infl.:бл҃годать,бл҃годат,блг҃одат|sg., f., gen., infl.:бл҃годати
изметати;137401;verb;3rd p., sg., pres., ind., act., infl.:измещеть
богодохновеньныи;137403;adjective;sg., n., loc., pos., weak, infl.:бг҃одх҃новенномъ|pl., m., gen., pos., weak, infl.:бгодх҃новенныхъ
алексеи;137412;proper noun;sg., m., gen., infl.:алексѣѧ
кирилъ;137413;proper noun;sg., m., gen., infl.:кирила
родительскии;137414;adjective;sg., f., nom., pos., weak, infl.:родительскаѧ
отънынѣ;137415;adverb;non-infl.:ѿнн҃ѣ
произволити;137416;verb;sg., result., part., act., m., nom., strong, infl.:произволилъ
таможьныи;137417;adjective;pl., n., gen., pos., weak, infl.:таможенныхъ
дружити;137418;verb;2nd p., sg., pres., imp., act., infl.:дрѹжи
недругъ;137419;common noun;sg., m., gen., infl.:недрѹга|sg., m., dat., infl.:недрѹгѹ
присрочити;137420;verb;sg., past, part., act., m., nom., strong, infl.:присрочивъ
изволочити;137421;verb;sg., pres., part., act., m., nom., strong, infl.:изволоча
душеврѣдьныи;137422;adjective;sg., f., nom., pos., weak, infl.:дш҃евреднаѧ
казначеи;137423;common noun;pl., m., dat., infl.:казначеемъ
подьячии;137424;common noun;pl., m., dat., infl.:подьѧчимъ
грозьныи;137425;adjective;sg., m., nom., pos., strong, infl.:грозенъ
побѣдьныи;137427;adjective;pl., m., gen., pos., weak, infl.:побѣдныхъ
полоньникъ;137428;common noun;pl., m., gen., infl.:полонениковъ
прѣсквьрньныи;137429;adjective;pl., n., acc., pos., weak, infl.:пресквьрньнаꙗ
прѣщедрыи;137434;adjective;sg., m., nom., pos., weak, infl.:прещедрыи
оныи;137443;adjective;sg., m., gen., pos., weak, infl.:оного
зьрѣемо;137470;common noun;sg., n., acc., infl.:зьрѣимъ,зьрѣимо
умиленыи;137472;adjective;sg., m., nom., pos., weak, infl.:умиленыи|sg., m., ins., pos., strong, infl.:умиленъмь
мѣрити;137475;verb;2nd p., pl., pres., ind., act., infl.:мѣрите
възмѣрити;137476;verb;3rd p., sg., pres., ind., act., infl.:возмѣрит
предочистити;137477;verb;sg., past, part., act., m., nom., strong, infl.:предѡчистивъ
утиральникъ;137478;common noun;pl., m., acc., infl.:оутиралники
чисто;137480;adverb;non-infl.:чисто|pos., infl.:чисто
сиротъка;137481;common noun;pl., f., dat., infl.:сироткамъ
межъситъка;137482;common noun;sg., f., gen., infl.:межъситки
повадьно;137483;adverb;non-infl.:повадно
сентябрь;137489;common noun;sg., m., gen., infl.:семтѧбрѧ,септꙗбрꙗ
вънушити;137490;verb;2nd p., sg., pres., imp., act., infl.:вънуши
въжелѣти;137491;verb;3rd p., du., aor., ind., act., infl.:въжелѣста
прѣчьстьнѣ;137492;adverb;non-infl.:пречьстьнѣ
колико;137493;interrogative adverb;non-infl.:колико
акы;137499;subjunction;non-infl.:акꙑ
ельма;137501;subjunction;non-infl.:елма
съкроити;137502;verb;3rd p., sg., pres., ind., act., infl.:скроит
свертѣти;137503;verb;sg., past, part., act., m., nom., strong, infl.:свертевъ|sg., past, part., pass., n., nom., strong, infl.:сверчено
простерети;137504;verb;pres., inf., act., infl.:простерети
съсылати;137519;verb;pres., inf., act., infl.:ссылат|3rd p., pl., pres., ind., act., infl.:ссылают
боярыни;137520;common noun;pl., f., loc., infl.:боѧрынѧх|sg., f., gen., infl.:боярони|sg., f., nom., infl.:бояроня|sg., f., dat., infl.:бояронѣ
пересужати;137521;verb;1st p., sg., pres., ind., act., infl.:пересѹжаю
болярьць;137522;common noun;pl., m., acc., infl.:болѧрьцѣ
бързо;137523;adverb;comp., infl.:борзее|pos., infl.:борзо
исъсуслати;137524;verb;pres., inf., act., infl.:изсѹслати,иссѹслать
мокрыи;137525;adjective;sg., n., loc., pos., strong, infl.:мокрѣ|sg., m., gen., pos., strong, infl.:могра|sg., f., nom., pos., strong, infl.:мокра|sg., n., acc., pos., weak, infl.:мокрое|sg., f., acc., pos., weak, infl.:мокрую
накрѣпько;137526;adverb;non-infl.:накрѣпко
остряпати;137527;verb;sg., past, part., act., f., nom., strong, infl.:ѡстрѧпавши
улити;137529;verb;pres., inf., act., infl.:оулити
руда;137530;common noun;sg., f., loc., infl.:рѹде
исшити;137532;verb;sg., past, part., pass., n., nom., strong, infl.:исшито
сиротина;137533;common noun;pl., f., acc., infl.:сиротины|sg., f., nom., infl.:сиротина|sg., f., acc., infl.:сиротину
прѣблаженыи;137534;adjective;sg., m., gen., pos., weak, infl.:преблаженааго|sg., m., dat., pos., weak, infl.:прѣблаженомѹ
квашьня;137535;common noun;pl., f., acc., infl.:квашни
кукьшинъ;137536;common noun;pl., m., acc., infl.:кѹкшины
прѣчудьныи;137542;adjective;sg., n., nom., pos., strong, infl.:пречюдьно|sg., f., nom., pos., strong, infl.:пречюдьна|sg., m., acc., pos., strong, infl.:пречюдьнъ|sg., m., nom., pos., strong, infl.:прѣчюдьнъ|sg., m., acc., pos., weak, infl.:пречюдныи
вьрху;137544;preposition;non-infl.:врьхѹ
прозирати;137545;verb;3rd p., pl., imperf., ind., act., infl.:прозираху|3rd p., pl., pres., ind., act., infl.:прозирають
слукыи;137546;adjective;pl., m., nom., pos., weak, infl.:сълѹции
разумьно;137554;adverb;pos., infl.:разѹмно
ножька;137555;common noun;pl., f., acc., infl.:ношки
листь;137556;common noun;pl., m., nom., infl.:листье|pl., m., acc., infl.:листьѧ
отец;137558;common noun;sg., m., dat., infl.:оц҃ю|sg., m., gen., infl.:оц҃ѧ
аче;137560;subjunction;non-infl.:аче,Аче
тиуна;137561;common noun;sg., f., nom., infl.:тиѹна
мечьникъ;137564;common noun;sg., m., nom., infl.:мечникъ|sg., m., dat., infl.:мечнику
вышии;137565;adjective;sg., m., nom., comp., weak, infl.:вꙑшии|sg., n., nom., comp., strong, infl.:выше
прѣвышии;137566;adjective;sg., m., nom., comp., weak, infl.:превꙑшии
цвьсти;137568;verb;sg., pres., part., act., m., nom., weak, infl.:цвьтыи|3rd p., sg., imperf., ind., act., infl.:цвьтꙗше,цвьтѧше|sg., pres., part., act., m., nom., strong, infl.:цвьтѹщь
вымя;137569;common noun;sg., n., acc., infl.:вымѧ
авифаникия;137573;proper noun;sg., f., nom., infl.:авифаникии
асуритисиу;137574;proper noun;sg., m., nom., infl.:асуритисиоу
агараньскыи;137575;adjective;sg., f., gen., pos., strong, infl.:агнѧнски
боричевъ;137580;adjective;sg., m., nom., pos., strong, infl.:боричевъ
галичане;137586;common noun;pl., m., nom., infl.:галичане
вирьникъ;137587;common noun;sg., m., dat., infl.:вирнику
вѣкъша;137588;common noun;pl., f., gen., infl.:вѣкшии,вѣкошь|pl., f., nom., infl.:вѣкши|sg., f., acc., infl.:вѣкшю
съсадьныи;137589;adjective;sg., f., nom., pos., weak, infl.:съсаднаꙗ
огнищьныи;137590;adjective;sg., m., acc., pos., weak, infl.:ѡгнищныи
еже;137594;adverb;non-infl.:еже,ѥже
протьрпѣти;137595;verb;sg., result., part., act., m., nom., strong, infl.:протьрпѣлъ
прохлажати;137597;verb;3rd p., sg., pres., ind., act., infl.:прохлажает
перенѣгъ;137599;proper noun;sg., m., nom., infl.:перенѣгь
отъложити;137600;verb;3rd p., pl., aor., ind., act., infl.:ѿложиша
выкупати;137601;verb;pres., inf., act., infl.:выкупати|3rd p., sg., pres., ind., act., infl.:выкупаѥть
головьникъ;137605;common noun;sg., m., gen., infl.:головника|sg., m., nom., infl.:головникъ|sg., m., dat., infl.:головникѹ,головнику
вьрьвьныи;137606;adjective;sg., f., acc., pos., weak, infl.:виревную|sg., f., gen., pos., weak, infl.:вьрьбьныꙗ,вьрьбьныѧ
вьрвь;137607;common noun;sg., f., loc., infl.:верви|sg., f., nom., infl.:вервь|sg., m., dat., infl.:верви|sg., f., gen., infl.:верви|sg., f., acc., infl.:вервь
толико;137617;interrogative adverb;non-infl.:толико
жирославичь ;137619;proper noun;sg., m., nom., infl.:жирославичь
глоговъ;137621;proper noun;sg., m., acc., infl.:глоговы
переварка;137626;common noun;sg., f., gen., infl.:переварки|sg., f., acc., infl.:переваркѹ
сельскыи;137627;adjective;sg., m., loc., pos., weak, infl.:сельскѡмь|pl., m., nom., pos., weak, infl.:сельскыѧ
ратаиныи;137628;adjective;sg., m., loc., pos., weak, infl.:ратаинѣмь
рядовичь;137629;common noun;sg., m., gen., infl.:рѧдовича
ремьствьникъ;137630;common noun;sg., m., loc., infl.:ремественицѣ|sg., m., gen., infl.:ремественика
ремьствьница;137631;common noun;sg., f., loc., infl.:ремественицѣ|sg., f., acc., infl.:ремественицю
кърмилица;137632;common noun;sg., f., acc., infl.:кормилицю|sg., f., nom., infl.:кормилица
поклепьныи;137634;adjective;sg., f., loc., pos., weak, infl.:покленѣи|sg., f., nom., pos., weak, infl.:поклепнаꙗ
свергнути;137635;verb;3rd p., sg., pres., ind., act., infl.:свержеть
съметьныи;137636;adjective;sg., f., nom., pos., weak, infl.:сметнаꙗ
помечьныи;137637;adjective;sg., m., gen., pos., weak, infl.:помечнаго
истьць;137640;common noun;sg., m., gen., infl.:ꙇстьцѧ,истьцѧ|sg., m., dat., infl.:истьцю,ꙇстьцю|sg., m., nom., infl.:истець
оли;137643;subjunction;non-infl.:оли
рукоять;137644;common noun;sg., f., ins., infl.:рукоꙗтию
утнути;137645;verb;3rd p., sg., pres., ind., act., infl.:ѹтнеть
тылеснь;137646;common noun;sg., f., ins., infl.:тылѣснию
приспѣшьникъ;137649;common noun;pl., m., gen., infl.:приспѣшниковъ
градъ;137654;common noun;sg., m., acc., infl.:градъ
усъхнути;137681;verb;3rd p., sg., pres., ind., act., infl.:ѹсхнеть
полувирие;137682;common noun;sg., n., acc., infl.:полувирьѥ
вѣкъ ;137683;common noun;sg., m., acc., infl.:вѣкъ
синь;137684;adjective;sg., m., nom., pos., strong, infl.:синь
видокъ;137685;common noun;sg., m., gen., infl.:видока|sg., m., acc., infl.:видѡкъ|du., m., acc., infl.:видока|pl., m., dat., infl.:видокомъ
лѣчьбьныи;137686;adjective;sg., n., acc., pos., weak, infl.:лѣчебноѥ
попехнути;137687;verb;3rd p., sg., pres., ind., act., infl.:пѡпъхнеть
жьрдь;137688;common noun;sg., f., ins., infl.:жердью
кълбягъ;137689;common noun;sg., m., nom., infl.:колбѧгъ
поняти;137690;verb;pres., inf., act., infl.:понѧти
сводъ;137702;common noun;sg., m., acc., infl.:свѡдъ|sg., m., loc., infl.:свѡдѣ|sg., m., gen., infl.:свѡда,свода|sg., m., nom., infl.:свѡдъ|sg., m., dat., infl.:своду|pl., m., acc., infl.:своды
клѣтьныи;137703;adjective;sg., m., nom., pos., weak, infl.:клѣтныи
коньчьныи;137704;adjective;sg., m., gen., pos., weak, infl.:конечнѧгѡ,конечнѧго|sg., m., nom., pos., weak, infl.:конечнии|sg., f., nom., pos., weak, infl.:конечнаѧ|pl., f., dat., pos., weak, infl.:конечнымъ
татьбьныи;137705;adjective;sg., n., acc., pos., strong, infl.:татебно
мытьникъ;137706;common noun;sg., m., gen., infl.:мытника
проторъ;137708;common noun;sg., m., acc., infl.:протѡръ
сума;137709;common noun;pl., f., acc., infl.:сѹмы|pl., f., loc., infl.:сумах
замокнути;137719;verb;sg., result., part., act., n., nom., strong, infl.:замокло
рѣпиньныи;137720;adjective;sg., n., acc., pos., weak, infl.:рѣпное
додьржати;137727;verb;3rd p., pl., pres., ind., act., infl.:додержать
коза;137728;common noun;pl., f., acc., infl.:козы|pl., f., nom., infl.:козы|sg., f., ins., infl.:козою
третьякъ;137729;common noun;sg., m., dat., infl.:третьꙗку,третяку
лоньщниа;137730;common noun;sg., f., acc., infl.:лѡньщину
полъ ;137731;common noun;sg., m., gen., infl.:полу|sg., m., acc., infl.:пѡл,пол|sg., m., loc., infl.:полу|pl., m., acc., infl.:полы
порося;137732;common noun;sg., n., acc., infl.:поросѧ
ногата;137733;common noun;du., f., acc., infl.:ногатѣ|sg., f., nom., infl.:ногата|pl., f., gen., infl.:ног҃|sg., f., dat., infl.:ногатѣ|sg., f., acc., infl.:ногату
жеребиць;137734;common noun;sg., m., acc., infl.:жеребець
жеребя;137735;common noun;sg., n., acc., infl.:жеребѧ
чьрньчии;137737;adjective;sg., m., nom., pos., strong, infl.:чернечь
двоиче;137738;adverb;non-infl.:двѡиче
поклажаи;137739;common noun;sg., m., loc., infl.:поклажаи|sg., m., acc., infl.:поклажаи
благодѣтель;137741;common noun;sg., m., acc., infl.:бологодѣль
рѣзъ;137742;common noun;sg., m., loc., infl.:рѣзѣ|sg., m., acc., infl.:рѣзъ|sg., m., gen., infl.:рѣза|du., m., acc., infl.:рѣза|pl., m., acc., infl.:рѣзы
просъпъ;137743;common noun;sg., m., acc., infl.:просѡпъ
наставъ;137744;common noun;sg., m., acc., infl.:наставъ
треть;137746;common noun;sg., f., acc., infl.:треть
погренути;137747;verb;pres., inf., act., infl.:погренути
промиловати;137748;verb;sg., result., part., act., m., nom., strong, infl.:промиловал
вьсеволодичь;137749;proper noun;sg., m., nom., infl.:всеволѡдичь
тысячьскыи;137752;adjective;sg., m., gen., pos., weak, infl.:тысѧчьскогѡ,тысѧчьскѡго
прокопии;137753;proper noun;sg., m., gen., infl.:прокѡпью,прокопья|sg., m., nom., infl.:прокопеи|sg., m., ins., infl.:прокопьем
бѣлогородьскыи;137754;adjective;sg., m., gen., pos., weak, infl.:бѣлогородьскѡгѡ
нажиръ;137755;proper noun;sg., m., gen., infl.:нажира
мирославъ;137756;proper noun;sg., m., gen., infl.:мирослава
исто;137759;common noun;sg., n., acc., infl.:исто|sg., n., gen., infl.:иста
насилити;137763;verb;pres., inf., act., infl.:насилити
пропити;137764;verb;3rd p., sg., pres., ind., act., infl.:пропиѥть
пробити;137765;verb;3rd p., sg., pres., ind., act., infl.:пробиѥть|3rd p., pl., aor., ind., act., infl.:пробиша
чужеземьць;137766;common noun;sg., m., nom., infl.:чюжеземець
запустити;137767;verb;3rd p., sg., pres., ind., act., infl.:запустить
дължьбить;137768;common noun;pl., m., nom., infl.:должебити
запинати;137769;verb;pres., inf., act., infl.:запинати
выломати;137801;verb;sg., result., part., act., n., nom., strong, infl.:выломало
заняти;137803;verb;pres., inf., act., infl.:занѧт
проважати;137807;verb;3rd p., pl., pres., ind., act., infl.:провожаютъ|pl., result., part., act., m., nom., strong, infl.:провожали|sg., result., part., act., m., nom., strong, infl.:провожал|3rd p., pl., imperf., ind., act., infl.:проважахѹти
искивати;137808;verb;sg., result., part., act., m., nom., strong, infl.:искива
отъвѣчивати;137809;verb;sg., result., part., act., m., nom., strong, infl.:ѿвечивалъ
прѣдъречи;137810;verb;pl., past, part., pass., n., acc., weak, infl.:предреченнаѧ|1st p., pl., aor., ind., act., infl.:предрекохом
боязнивыи;137811;adjective;pl., m., nom., pos., weak, infl.:боѧзнивїи
заколоти;137824;verb;sg., past, part., pass., m., nom., strong, infl.:заколенъ|sg., past, part., pass., m., dat., strong, infl.:заколену
сармати;137825;common noun;sg., m., nom., infl.:гаръмати
прикладывати;138082;verb;3rd p., sg., pres., ind., act., infl.:прикладываѥть|3rd p., pl., pres., ind., act., infl.:прикладывають
съплатити;138083;verb;pres., inf., act., infl.:сплати
вобче;138084;adverb;non-infl.:во обчи
головьничьство;138085;common noun;sg., n., acc., infl.:головничьство
съвада;138086;common noun;sg., f., loc., infl.:свадѣ|sg., f., gen., infl.:свады
явлено;138087;adverb;pos., infl.:ꙗвлено,ꙗвленѡ
поконъ;138089;common noun;pl., m., nom., infl.:покони
вирьныи;138090;adjective;pl., m., nom., pos., weak, infl.:вирнии
овьнъ;138147;common noun;sg., m., acc., infl.:овенъ
уборокъ;138149;common noun;pl., m., gen., infl.:ѹборкѡвъ,ѹборковъ,ѹбѡркѡвъ
голважьня;138150;common noun;pl., f., gen., infl.:голважень
сути;138151;verb;pres., inf., act., infl.:сути
перекладьныи;138152;adjective;sg., f., nom., pos., weak, infl.:перекладнаꙗ|sg., n., gen., pos., weak, infl.:перекладнагѡ
метельникъ;138153;common noun;sg., m., dat., infl.:метелнику
закупъ;138205;common noun;sg., m., nom., infl.:закупъ|sg., m., loc., infl.:закупѣ|sg., m., dat., infl.:закупу|sg., m., gen., infl.:закѹпа,закупа|non-infl.:заку
обьль;138206;adverb;non-infl.:обель
робити;138207;verb;3rd p., pl., pres., ind., act., infl.:рѡбѧть
ролииныи;138208;adjective;sg., m., nom., pos., weak, infl.:ролеиныи
воискыи;138209;adjective;sg., m., acc., pos., weak, infl.:вѡискии
борона;138210;common noun;sg., f., acc., infl.:борону
купа;138211;common noun;sg., f., acc., infl.:купу
отъсълати;138212;verb;3rd p., sg., pres., ind., act., infl.:ѿслеть|sg., result., part., act., m., nom., strong, infl.:ѿслал,ѿтослалъ|pres., inf., act., infl.:ѿслат|sg., past, part., pass., m., nom., strong, infl.:ѿсъланъ|3rd p., sg., aor., ind., act., infl.:ѿсла
переобидѣти;138214;verb;3rd p., sg., pres., ind., act., infl.:переобидть
отарица;138215;common noun;sg., f., acc., infl.:отарицю
обьльныи;138216;adjective;sg., m., nom., pos., weak, infl.:обелныи|sg., n., nom., pos., weak, infl.:обелноѥ
затѣмъ;138217;adverb;non-infl.:затѣмь
розвязати;138218;verb;pl., past, part., act., m., nom., strong, infl.:розвѧзавше
послушьство;138219;common noun;sg., n., loc., infl.:послушьствѣ|sg., n., gen., infl.:послушьства
съкладывати;138220;verb;pres., inf., act., infl.:складывати
поръвати;138221;verb;3rd p., sg., pres., ind., act., infl.:порветь
выбити;138222;verb;3rd p., pl., pres., ind., act., infl.:выбьють|sg., result., part., act., m., nom., strong, infl.:выбил,выбилъ
росѣчи;138223;verb;sg., past, part., pass., f., nom., strong, infl.:росѣчена
разнаменати;138224;verb;3rd p., sg., pres., ind., act., infl.:разнаменаѥть
перетяти;138225;verb;3rd p., sg., pres., ind., act., infl.:перетнеть
ролеиныи;138227;adjective;sg., f., acc., pos., weak, infl.:ролеiную|sg., f., gen., pos., weak, infl.:ролеиноѣ
дворьныи;138228;adjective;sg., f., acc., pos., weak, infl.:двѡрную
перегородити;138229;verb;3rd p., sg., pres., ind., act., infl.:перегородить
подътяти;138230;verb;3rd p., sg., pres., ind., act., infl.:подотнеть,пѡдътнеть,пѡдотнеть
знаменьныи;138231;adjective;sg., m., acc., pos., weak, infl.:знаменьныи
межьныи;138232;adjective;sg., m., acc., pos., weak, infl.:межьныи
накладъ;138240;common noun;pl., m., nom., infl.:наклади,наклады
выдрати;138254;verb;3rd p., sg., pres., ind., act., infl.:выдереть
лазити;138255;verb;pl., past, part., pass., f., nom., strong, infl.:лажены
олекъ;138256;common noun;sg., m., nom., infl.:олѣкъ
отъбити;138257;verb;3rd p., pl., pres., ind., act., infl.:ѿбьють|pl., result., part., act., m., nom., strong, infl.:ѿбили|3rd p., pl., aor., ind., act., infl.:ѿбиша
гостиньць;138258;common noun;pl., m., nom., infl.:гостиньцы,гостинцы|sg., m., loc., infl.:гостиныцѣ|sg., m., gen., infl.:гостинца
огнищанинъ;138259;common noun;sg., m., gen., infl.:ѡгнищанина
набоиныи;138260;adjective;sg., f., acc., pos., weak, infl.:набѡиную
челнъ;138261;common noun;sg., m., acc., infl.:челнъ
стругъ;138262;common noun;sg., m., acc., infl.:стругъ
куря;138263;common noun;sg., n., acc., infl.:курѧ|pl., n., nom., infl.:курята|pl., f., nom., infl.:куры|pl., f., acc., infl.:куры
уты;138264;common noun;sg., f., acc., infl.:ѹтовь
лебедь;138265;common noun;sg., f., acc., infl.:лебедь|pl., f., nom., infl.:лебеди|pl., m., gen., infl.:лебедеи
жеравь;138266;common noun;sg., m., acc., infl.:жеравль
грабежь;138267;common noun;sg., m., acc., infl.:грабежь
исплатити;138268;verb;sg., past, part., act., m., dat., strong, infl.:исплатившю
емати;138269;verb;pres., inf., act., infl.:ѥмѣти
обинити;138270;verb;pres., inf., act., infl.:обинити|3rd p., sg., pres., ind., act., infl.:обинить
холопии;138271;adjective;sg., f., dat., pos., weak, infl.:хѡлѡпьи
запа;138276;common noun;sg., f., nom., infl.:запа
прохожениѥ;138277;common noun;sg., n., nom., infl.:прохожениѥ
задьница;138279;common noun;sg., f., acc., infl.:задницю|sg., f., loc., infl.:задницѣ|sg., f., gen., infl.:задницѧ,задницѣ,задници|sg., f., ins., infl.:задницею|sg., f., nom., infl.:задницѧ,задница
дружиньнии;138280;adjective;sg., f., loc., pos., weak, infl.:дружьнѣи
закладати;138290;verb;pl., pres., part., act., m., nom., strong, infl.:закладаюче
городьникъ;138291;common noun;sg., m., dat., infl.:городнику
городьня;138292;common noun;sg., f., acc., infl.:горѡдню|sg., f., gen., infl.:горѡднѣ
одиною;138293;adverb;non-infl.:одину
мостьникъ;138294;common noun;pl., m., loc., infl.:мостницѣхъ|sg., m., dat., infl.:мѡстнику,мостнику
помостити;138295;verb;pl., past, part., act., m., nom., strong, infl.:помостивше
робии;138297;adjective;pl., m., nom., pos., strong, infl.:рѡбьи
ближии;138298;adjective;sg., m., nom., pos., weak, infl.:ближии
домъ;138299;proper noun;sg., m., ins., infl.:домомь
пригостити;138300;verb;3rd p., sg., pres., ind., act., infl.:пригостить
истыи;138302;adjective;sg., m., acc., pos., weak, infl.:истыи|sg., n., acc., comp., weak, infl.:истѣѥ
ростеряти;138305;verb;sg., result., part., act., m., nom., strong, infl.:ростерѧлъ|3rd p., sg., pres., ind., act., infl.:ростерѧѥть
вьсяко;138313;adverb;non-infl.:всѧко,всяко|pos., infl.:всяко
мозжькъ;138314;common noun;sg., m., acc., infl.:можжокъ
медъкъ;138315;common noun;sg., m., gen., infl.:медкѹ|sg., m., acc., infl.:медокъ
пирожькъ;138316;common noun;pl., m., acc., infl.:пирошки
роздѣлити;138317;verb;3rd p., pl., pres., ind., act., infl.:роздѣлѧть
потеряти;138318;verb;sg., result., part., act., m., nom., strong, infl.:потерѧлъ|pl., result., part., act., m., nom., strong, infl.:потеряли
иночимль;138320;adjective;sg., m., gen., pos., strong, infl.:инѡчимлѧ
иночимъ;138321;common noun;sg., m., gen., infl.:инѡчима
судьбьныи;138322;adjective;pl., m., nom., pos., weak, infl.:судебнии
ростязати;138323;verb;3rd p., pl., pres., ind., act., infl.:ростѧжють
дѣлити;138324;verb;sup., acc., infl.:дѣлитъ|sg., result., part., act., m., nom., strong, infl.:делилъ
ротьныи;138325;adjective;pl., m., nom., pos., weak, infl.:рѡтнии
холопьство;138326;common noun;sg., n., loc., infl.:холѡпьствѣ|sg., n., nom., infl.:холѡпьство
тиуньство;138327;common noun;sg., n., nom., infl.:тивуньство
дача;138328;common noun;sg., f., loc., infl.:дачь
роботити;138329;verb;3rd p., pl., pres., ind., act., infl.:робѡтѧть
придатъкъ;138330;common noun;sg., m., loc., infl.:придатъцѣ
ворочати;138331;verb;pres., inf., act., infl.:ворѡчати,ворочат
заповѣдѣти;138332;verb;3rd p., sg., pres., ind., act., infl.:заповѣсть
ублюсти;138335;verb;3rd p., sg., pres., ind., act., infl.:ѹблюдеть
переемъ;138339;common noun;sg., m., acc., infl.:переѥмъ|sg., m., gen., infl.:переима
досочити;138341;verb;3rd p., sg., pres., ind., act., infl.:досѡчить
вязебьныи;138342;adjective;sg., f., acc., pos., weak, infl.:вѧзебную
али;138344;conjunction;non-infl.:али
одълъжати;138345;verb;3rd p., sg., pres., ind., act., infl.:одолжаѥть
сусѣдьнии;138366;adjective;sg., n., acc., pos., strong, infl.:сусѣдне
чии;138368;indefinite pronoun;sg., f., loc., infl.:чьѥи|sg., m., acc., infl.:чии|sg., m., loc., infl.:чьѥмь
влехись;138388;proper noun;sg., m., nom., infl.:влехисъ
луеи;138389;proper noun;pl., f., nom., infl.:луеи
братучадо;138592;common noun;sg., n., acc., infl.:братучадо
изгои;138593;common noun;sg., m., nom., infl.:ιзгѡи
людинъ;138594;common noun;sg., m., acc., infl.:людинъ
полъть;138595;common noun;sg., m., acc., infl.:полоть
съкладати;138619;verb;3rd p., pl., pres., ind., act., infl.:складають
борть;138620;common noun;sg., f., loc., infl.:борти|sg., f., acc., infl.:борть
бортьныи;138621;adjective;sg., f., acc., pos., weak, infl.:бортьную|sg., f., gen., pos., weak, infl.:бортноѣ,бортьноѣ
отъсочити;138623;verb;3rd p., pl., aor., ind., act., infl.:ѿсѡчать
голубь;138624;common noun;pl., m., acc., infl.:голуби|sg., m., dat., infl.:голуби|pl., m., nom., infl.:голуби|sg., m., acc., infl.:голубь
гусь;138625;common noun;pl., m., acc., infl.:гѹси|pl., m., gen., infl.:гѹсѣй,гусеи|pl., m., dat., infl.:гѹсемъ,гѹсем|sg., m., acc., infl.:гусь|pl., m., nom., infl.:гуси
вьсесвятыи;138631;adjective;sg., f., nom., pos., weak, infl.:Всест҃ая,всес҃таѧ|sg., f., dat., pos., weak, infl.:всес҃тїи|sg., n., nom., pos., weak, infl.:всес҃тое
съдѣтель;138632;common noun;sg., m., voc., infl.:содѣтелю,съдѣтелю|sg., m., gen., infl.:содѣтеля
поспѣшити;138633;verb;2nd p., sg., pres., imp., act., infl.:поспѣши
свои;138634;adjective;sg., n., acc., pos., strong, infl.:своe
невѣжьство;138635;common noun;sg., n., gen., infl.:невѣжества|sg., n., loc., infl.:невежьствѣ|sg., n., acc., infl.:невѣжество
глаголание;138636;common noun;sg., n., loc., infl.:гл҃голанїи
творение;138637;common noun;sg., n., acc., infl.:творение|sg., n., nom., infl.:творенїе
причастьникъ;138638;common noun;sg., m., nom., infl.:причастник
близостьныи;138639;adjective;pl., n., nom., pos., weak, infl.:близостные
виновьныи;138640;adjective;pl., n., nom., pos., weak, infl.:виновные|pl., n., gen., pos., weak, infl.:виновных|sg., n., gen., pos., weak, infl.:виновнаго
сирѣчь;138641;adverb;non-infl.:сирѣчь,сїи рѣчь
дионисии;138642;proper noun;sg., m., gen., infl.:диѡнисия|sg., m., dat., infl.:диѡнисию|sg., m., nom., infl.:диѡнисїи,диѡнисиꙇ
ареопагитъ;138643;proper noun;sg., m., nom., infl.:ареѡпагит
своиствьныи;138644;adjective;pl., n., gen., pos., weak, infl.:своиственных
непостижимыи;138645;adjective;sg., m., nom., pos., strong, infl.:непостижим,непостижимъ|sg., m., nom., pos., weak, infl.:непостижимый
неприступьныи;138646;adjective;sg., m., nom., pos., strong, infl.:неприступен
трисияньныи;138647;adjective;sg., m., nom., pos., strong, infl.:трисиянен
триипостасьныи;138648;adjective;sg., m., nom., pos., strong, infl.:триіпостасен|sg., n., acc., pos., weak, infl.:триꙇпостасное
непостояньныи;138649;adjective;sg., m., nom., pos., strong, infl.:непостоянен
испадение;138650;common noun;sg., n., nom., infl.:ꙇспадение|sg., n., ins., infl.:ꙇспадениемъ
мостъ;138651;common noun;sg., m., nom., infl.:мостъ|sg., m., gen., infl.:мосту,мостѹ,моста|sg., m., ins., infl.:мостом|sg., m., acc., infl.:мостъ|sg., m., dat., infl.:мосту|pl., m., acc., infl.:мосты
