lemma;id;part_of_speech;forms
море;120295;common noun;sg., n., gen., infl.:морѧ,моря,морꙗ|sg., n., dat., infl.:морю|sg., n., acc., infl.:море,морѧ,морѣ|sg., n., nom., infl.:море|sg., n., ins., infl.:моремъ,морем|sg., n., loc., infl.:мори,море|pl., n., gen., infl.:морь,мор
сѣмо;120296;adverb;non-infl.:сѣмо,семъ
и;120297;personal pronoun;3rd p., sg., m., gen., infl.:его,него,их,ѥго,нѣго,нево,ево,ѥгѡ,негѡ,ѥ,егѡ,нѣво,нѥго,єго,нег,єг,ег|3rd p., pl., m., loc., infl.:них,нихъ,нихʼ|3rd p., pl., m., dat., infl.:имъ,нимъ,имь,им же,ним,им,ιмъ,ꙇмъ,iмъ|3rd p., sg., m., acc., infl.:и,і,нь,не,ꙇ,его,єго|3rd p., sg., m., dat., infl.:емоу,ему,нему,емѹ,ѥму,нѣму,ѥмѹ,немѹ,ем,ему же,ѥмь,ѥмȣ,нѥмѹ,емȣ,немȣ,нѥмо,емꙋ,ємꙋ,немꙋ,мꙋ|3rd p., sg., m., ins., infl.:нимъ,немъ,нимь,им,имъ,ни,имь,ним,нїмь|3rd p., pl., f., acc., infl.:я,е,ѧ,нѣ,ꙗ|3rd p., sg., n., acc., infl.:е,не,е же,нѥ,ѥ|3rd p., pl., m., gen., infl.:ихъ,их,нихъ,них,нїхъ,ꙇхъ,ꙇх,нихʼ,ихʼ|3rd p., pl., m., acc., infl.:я,и,нь,нѧ,е,не,ѣ,ꙗ,нꙗ,ѧ,ихъ|3rd p., sg., f., loc., infl.:неи,ней,еи,нѥи|3rd p., sg., f., ins., infl.:нею,нѣю,ею,ѥю,нѥю|3rd p., pl., m., ins., infl.:ими,ними,ними.,нимь,нїми,нми,ни|3rd p., pl., f., gen., infl.:ихъ,нихъ,их|3rd p., pl., n., gen., infl.:их,ихъ|3rd p., du., m., acc., infl.:я,е|3rd p., du., m., dat., infl.:има,нима|3rd p., sg., n., gen., infl.:его,него,ѥго,єг|3rd p., sg., f., gen., infl.:нея,еѣ,ея,ее,ѥꙗ,неꙗ,неѣ,еѧ,нее,нѥꙗ,еꙗ|3rd p., sg., f., acc., infl.:ню,ю,и,ι|3rd p., sg., f., dat., infl.:неи,еи,ѥи,ей,нѥи|3rd p., sg., m., loc., infl.:немь,немъ,нѣмь,нем,не,ним,нѣмъ,ньмь,нѥмь,немʼ|3rd p., du., m., ins., infl.:нима,има|3rd p., du., m., gen., infl.:ею,нее,ѥю|3rd p., pl., f., loc., infl.:нихъ,них|3rd p., sg., n., ins., infl.:имь,имъ|3rd p., pl., f., dat., infl.:имъ,ним|3rd p., pl., f., ins., infl.:ними,ими|3rd p., pl., n., loc., infl.:нихъ|3rd p., pl., n., acc., infl.:ѧ,ꙗ|3rd p., sg., n., loc., infl.:немъ,немь,нѥмь|3rd p., pl., n., dat., infl.:имъ,нимъ|3rd p., pl., n., ins., infl.:ими
бо;120298;adverb;non-infl.:бо
тыи;120299;demonstrative pronoun;sg., n., dat., infl.:тому,томѹ,ткомоу,томꙋ|sg., n., nom., infl.:то,тое|sg., m., acc., infl.:то,ѿ,тъ,той,тои|pl., m., gen., infl.:тѣхъ,тѣх|pl., m., nom., infl.:ти,тыя,тые,тѣ,тїи,те|sg., m., ins., infl.:тѣм,тѣмь,тѣмъ,тем,темъ,тымъ|sg., m., gen., infl.:того,Того,тово,тогѡ|sg., n., ins., infl.:тѣм,тѣмь,тѣмъ,тем,темъ,тѣмʼ,темь|sg., n., gen., infl.:того,Того,тово,тогѡ,тѡг|sg., n., acc., infl.:то,тое|pl., m., acc., infl.:ты,тѣ,те,тыꙗ|pl., m., dat., infl.:тѣмъ,тѣмь,тѣм,тѣ҃м|pl., m., ins., infl.:тѣми,теми|du., m., nom., infl.:та|sg., f., loc., infl.:тои,той|sg., f., dat., infl.:тои,той,тѡи|pl., f., gen., infl.:тѣхъ,тѣх|sg., m., nom., infl.:то,тъ,ты,тои,ть|sg., f., acc., infl.:ту,ты,тую,тѹ|pl., f., loc., infl.:тѣхъ,тѣх|sg., f., nom., infl.:та|sg., n., loc., infl.:томъ,томь,том,тѡмь,тѡм,тмь|sg., m., dat., infl.:тому,томѹ,тои,Томѹ,томȣ|pl., n., loc., infl.:тѣхъ|sg., m., loc., infl.:томъ,томь,том,тѡмь|sg., f., gen., infl.:тоя,тои,тое,то,тоѣ,тоѧ,тоꙗ|du., m., acc., infl.:та|pl., f., nom., infl.:ти,ты,те|pl., n., ins., infl.:тѣми|pl., n., gen., infl.:тѣхъ,тѣх|pl., n., acc., infl.:та,таѧ,те|du., m., gen., infl.:тою|sg., f., ins., infl.:тою|pl., m., loc., infl.:тѣх,тѣхъ|pl., f., dat., infl.:тѣмъ|pl., n., nom., infl.:та,тѣ|pl., f., acc., infl.:те,тѣ|pl., n., dat., infl.:тѣм|pl., f., ins., infl.:теми,тѣми
съсѣдати;120304;verb;3rd p., pl., pres., ind., act., infl.:съсѣдѧть|pl., past, part., act., m., nom., strong, infl.:ссѣдавше
съ;120305;preposition;non-infl.:съ,с,со,з,сь,Со,ж,зъ,С,сʼ,зʼ,с꙽
раздѣлити;120306;verb;3rd p., pl., aor., ind., act., infl.:раздѣлиша|pl., past, part., act., m., nom., strong, infl.:раздѣливше|3rd p., sg., aor., ind., act., infl.:раздѣли,раздели|3rd p., du., aor., ind., act., infl.:раздѣлиста|du., past, part., act., m., nom., strong, infl.:раздѣливша|3rd p., pl., pres., ind., act., infl.:раздѣлѧть|3rd p., sg., pres., ind., act., infl.:раздѣлить,разделитъ|sg., past, part., pass., n., acc., weak, infl.:раздѣленоѥ|pres., inf., act., infl.:разделити|pl., past, part., act., m., dat., weak, infl.:разделившим
метати;120307;verb;pl., past, part., act., m., nom., strong, infl.:метавше|1st p., pl., pres., ind., act., infl.:мчемъ,мечемъ|du., result., part., act., m., nom., strong, infl.:метала|pres., inf., act., infl.:метати|3rd p., pl., imperf., ind., act., infl.:метахꙋ|3rd p., pl., pres., ind., act., infl.:мечють
не;120308;adverb;non-infl.:не,нь,нѣ,но,Не,на
братръ;120309;common noun;sg., m., nom., infl.:братъ|sg., f., loc., infl.:братьи
свои;120310;possessive reflexive pronoun;3rd p., sg., f., loc., infl.:своеи,своей,своѥи|3rd p., pl., n., ins., infl.:своими|3rd p., sg., n., ins., infl.:своимъ,своимь,своим|3rd p., pl., m., ins., infl.:своими,своимї|3rd p., sg., m., ins., infl.:своимъ,асвоимъ,своимь,своим|3rd p., pl., n., loc., infl.:своихъ,своих|3rd p., sg., m., gen., infl.:своего,своѥго,своег,своево,своѥгѡ,своѧ|3rd p., sg., m., loc., infl.:своемь,своемъ,своем,своѥмь,своѥмъ|3rd p., sg., m., acc., infl.:свои,свой,свої,свѡи|3rd p., sg., n., nom., infl.:свое|3rd p., sg., n., acc., infl.:свое,своѥ|3rd p., pl., m., acc., infl.:свои,своя,своѣ,своѧ,своꙗ|3rd p., pl., m., gen., infl.:своих,своихъ|3rd p., pl., f., dat., infl.:своимъ,своим|3rd p., pl., m., dat., infl.:своимъ,своим|3rd p., sg., f., gen., infl.:своея,своее,своѥя,своя,своеѣ,своеꙗ,своеѧ,своѧ,своей,своѥꙗ,своеи|3rd p., pl., f., acc., infl.:своя,свои,своꙗ,своѧ,своѣ,своѥꙗ|3rd p., sg., m., dat., infl.:своему,своѥму,своемѹ,своѥмѹ|3rd p., pl., n., acc., infl.:своя,свои,своѧ,своꙗ,своа|3rd p., du., m., acc., infl.:своя,свои,своꙗ,своѧ|3rd p., pl., f., gen., infl.:своихъ,своих|3rd p., sg., f., dat., infl.:своеи,своѥи,свои,своей|3rd p., sg., f., acc., infl.:свою|3rd p., sg., n., gen., infl.:своего,своѥго,своег|3rd p., pl., m., loc., infl.:своих,своихъ|3rd p., pl., n., gen., infl.:своих,своихъ|3rd p., sg., f., ins., infl.:своею,своѥю|3rd p., sg., m., nom., infl.:своимь,свои|3rd p., pl., m./f., ins., infl.:своими|3rd p., pl., f., ins., infl.:своими|3rd p., du., f., ins., infl.:своима|3rd p., du., f., gen., infl.:своею|3rd p., du., f., acc., infl.:свои,свої|3rd p., pl., m., nom., infl.:свои|3rd p., sg., n., loc., infl.:своемъ,своемь,своем,своѥмъ,своѥмь|3rd p., du., n., ins., infl.:своима|3rd p., du., f., dat., infl.:своима|3rd p., sg., f., nom., infl.:своя,своѧ,своꙗ|3rd p., sg., n., dat., infl.:своимъ,своѥму,свосемѹ,своемѹ,своему,своѥмѹ,своемȣ|3rd p., du., n., acc., infl.:свои|3rd p., du., m., gen., infl.:своею|3rd p., du., m., dat., infl.:своима|3rd p., du., m., ins., infl.:своима|3rd p., pl., f., loc., infl.:своихъ,своих,своеих|3rd p., du., n., gen., infl.:своею|3rd p., du., f., loc., infl.:своѥю|3rd p., pl., f., nom., infl.:свои|3rd p., pl., n., dat., infl.:своимъ,своим|3rd p., du., n., loc., infl.:своею
